DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,NAPSo Programada,0,2018-07-27 10:26:00,2018-07-27 12:31:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-23 14:28:56,2018-03-23 15:29:30,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-19 05:15:00,2018-11-19 05:54:00,Interna - Nao Programada - Proprias do sistema - Desligamento para manutencao emergencial,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-19 05:15:00,2018-11-19 05:54:00,Interna - Nao Programada - Proprias do sistema - Desligamento para manutencao emergencial,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-12 10:07:56,2018-06-12 17:55:12,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-13 09:35:40,2018-07-13 15:40:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-09-30 10:00:00,2018-09-30 16:06:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-09-30 10:00:00,2018-09-30 16:42:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-25 02:20:31,2018-07-25 03:09:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-26 08:08:27,2018-11-26 13:59:14,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-25 08:55:22,2018-06-25 18:49:12,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-10-26 11:49:26,2018-10-26 16:24:53,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-09 11:35:39,2018-03-09 14:26:21,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2018
PAULA SOUZA,NAPSo Programada,0,2018-08-19 16:39:11,2018-08-19 21:07:33,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,6,2018-01-29 11:38:00,2018-01-29 11:50:58,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-09 06:26:51,2018-06-09 12:10:37,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-24 19:14:11,2018-07-25 03:09:28,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-24 19:14:11,2018-07-24 21:29:16,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,7,2018-03-21 15:48:00,2018-03-21 15:56:00,Interna - Nao Programada - Alivio de carga,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-10 10:06:32,2018-05-10 13:01:21,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-01-20 09:30:37,2018-01-20 15:22:09,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-11-18 10:03:00,2018-11-18 15:50:40,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-11-18 10:04:17,2018-11-18 15:50:40,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-08-07 23:09:55,2018-08-08 04:55:32,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-08-07 23:16:21,2018-08-08 05:00:07,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-17 13:41:44,2018-11-17 13:47:00,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-25 11:47:43,2018-06-25 14:11:30,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-17 13:41:44,2018-11-17 13:47:00,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-25 09:55:22,2018-06-25 14:07:16,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-05 09:40:56,2018-11-05 13:21:46,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-02 21:33:48,2018-01-03 01:06:35,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,6,2018-01-29 21:25:27,2018-01-30 10:15:19,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-05-29 23:00:35,2018-05-30 02:25:08,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-01 17:06:23,2018-03-01 23:34:45,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-10-30 23:00:16,2018-10-31 01:10:50,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-23 11:09:07,2018-01-23 14:56:28,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-23 14:29:30,2018-01-23 14:33:19,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-08-11 07:20:14,2018-08-11 14:15:08,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-09-21 20:44:04,2018-09-22 00:35:19,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-08 04:19:00,2018-11-08 06:05:39,Interna - Nao Programada - Meio ambiente - Arvore ou Vegetacao,2018
