DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-16 21:21:23,2024-03-17 03:51:08,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-25 12:46:29,2024-02-26 12:47:06,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-06-05 08:51:50,2024-06-05 17:30:00,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-15 15:26:50,2024-04-17 15:00:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-15 13:10:37,2024-02-16 10:20:06,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-11 13:00:30,2024-01-11 16:08:57,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-11 12:48:55,2024-01-11 18:28:07,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-15 16:30:36,2024-02-16 12:41:28,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-15 17:46:21,2024-04-15 21:06:34,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-06 12:26:44,2024-01-06 18:35:26,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 12:37:54,2024-04-08 14:22:11,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-06 06:53:17,2024-01-06 13:07:02,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 12:41:10,2024-04-08 14:22:11,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 13:05:15,2024-04-08 14:22:11,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 13:07:13,2024-04-08 14:22:11,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-28 21:04:10,2024-03-28 22:00:25,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-09 01:42:04,2024-03-09 03:45:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-28 13:55:11,2024-03-29 04:47:22,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-31 15:00:25,2024-02-01 10:41:02,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-18 12:28:55,2024-04-19 04:25:46,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-02-27 23:25:00,2024-02-28 01:50:03,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-28 13:58:18,2024-03-28 14:27:15,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-19 06:26:39,2024-02-19 13:35:00,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-28 09:11:16,2024-03-01 02:38:59,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-06-18 09:23:26,2024-06-18 13:54:21,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-11 17:55:27,2024-05-11 23:46:29,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-01 02:39:54,2024-02-01 05:40:25,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-02 14:28:44,2024-01-04 14:45:43,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-01 02:17:07,2024-02-01 02:42:39,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2024
NOVO BANDEIRANTES,Programada,0,2024-04-30 10:33:35,2024-04-30 10:38:18,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-01 05:12:56,2024-02-01 05:43:58,INTERNA;NAO PROGRAMADA;NAO CLASSIFICADA;,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 23:17:13,2024-04-09 09:33:19,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-02-29 03:57:58,2024-02-29 06:34:59,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-30 15:46:00,2024-05-30 16:11:45,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-19 17:04:15,2024-02-20 13:14:32,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-03-20 11:24:32,2024-03-20 16:50:01,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-30 13:20:43,2024-05-01 03:30:39,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-15 08:17:23,2024-01-15 12:59:59,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-03-20 00:47:30,2024-03-20 13:00:53,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-04-29 23:00:06,2024-04-30 05:18:39,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-03-20 08:16:44,2024-03-22 14:25:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-08 18:16:00,2024-04-09 13:40:42,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-18 15:33:33,2024-03-18 19:13:33,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-06 16:07:44,2024-04-06 22:15:39,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-06 16:01:36,2024-04-06 19:39:04,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-28 09:39:12,2024-04-28 11:33:18,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-18 17:09:02,2024-03-18 19:13:33,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-28 11:57:01,2024-04-28 15:01:04,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-30 12:13:17,2024-01-30 14:29:52,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 22:54:15,2024-02-27 03:59:54,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-12 21:15:09,2024-01-14 09:16:16,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-30 11:45:17,2024-01-30 14:29:52,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-30 13:06:43,2024-01-31 13:39:59,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-18 15:30:04,2024-02-19 06:20:47,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-18 15:30:04,2024-02-18 21:55:32,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-29 12:48:39,2024-05-29 18:20:26,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-19 08:06:25,2024-03-19 12:36:19,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-27 19:46:00,2024-02-27 21:18:09,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-22 16:03:43,2024-01-23 19:53:28,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;VENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-29 10:25:48,2024-04-30 09:27:48,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-27 21:00:00,2024-02-27 23:55:17,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
